Symbol,Security Name,Listing Exchange,Market Category,ETF,Round Lot Size,Financial Status,CQS Symbol,NASDAQ Symbol,NextShares
A,"Agilent Technologies, Inc. Common Stock",N, ,False,100.0,Unknown,A,A,False
AA,Alcoa Corporation Common Stock ,N, ,False,100.0,Unknown,AA,AA,False
AAAU,Perth Mint Physical Gold ETF,P, ,True,100.0,Unknown,AAAU,AAAU,False
AACG,"ATA Creativity Global - American Depositary Shares, each representing two common shares",Q,G,False,100.0,N,,AACG,False
AADR,AdvisorShares Dorsey Wright ADR ETF,P, ,True,100.0,Unknown,AADR,AADR,False
AAL,"American Airlines Group, Inc. - Common Stock",Q,Q,False,100.0,N,,AAL,False
AAMC,Altisource Asset Management Corp Com,A, ,False,100.0,Unknown,AAMC,AAMC,False
AAME,Atlantic American Corporation - Common Stock,Q,G,False,100.0,N,,AAME,False
AAN,"Aaron's, Inc. Common Stock",N, ,False,100.0,Unknown,AAN,AAN,False
AAOI,"Applied Optoelectronics, Inc. - Common Stock",Q,G,False,100.0,N,,AAOI,False
AAON,"AAON, Inc. - Common Stock",Q,Q,False,100.0,N,,AAON,False
AAP,Advance Auto Parts Inc Advance Auto Parts Inc W/I,N, ,False,100.0,Unknown,AAP,AAP,False
AAPL,Apple Inc. - Common Stock,Q,Q,False,100.0,N,,AAPL,False
AAT,"American Assets Trust, Inc. Common Stock",N, ,False,100.0,Unknown,AAT,AAT,False
AAU,"Almaden Minerals, Ltd. Common Shares",A, ,False,100.0,Unknown,AAU,AAU,False
AAWW,Atlas Air Worldwide Holdings - Common Stock,Q,Q,False,100.0,N,,AAWW,False
AAXJ,iShares MSCI All Country Asia ex Japan Index Fund,Q,G,True,100.0,N,,AAXJ,False
AAXN,"Axon Enterprise, Inc. - Common Stock",Q,Q,False,100.0,N,,AAXN,False
AB,AllianceBernstein Holding L.P.  Units,N, ,False,100.0,Unknown,AB,AB,False
ABB,ABB Ltd Common Stock,N, ,False,100.0,Unknown,ABB,ABB,False
ABBV,AbbVie Inc. Common Stock,N, ,False,100.0,Unknown,ABBV,ABBV,False
ABC,AmerisourceBergen Corporation Common Stock,N, ,False,100.0,Unknown,ABC,ABC,False
ABCB,Ameris Bancorp - Common Stock,Q,Q,False,100.0,N,,ABCB,False
ABEO,Abeona Therapeutics Inc. - Common Stock,Q,S,False,100.0,N,,ABEO,False
ABEQ,Absolute Core Strategy ETF,P, ,True,100.0,Unknown,ABEQ,ABEQ,False
